kode,nama_bahan_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,besi_mg,natrium_mg
BR025,Talas bogor segar,108,1.4,0.4,25,0.9,47,0.7,10
BR026,Talas pontianak segar,163,2.3,0.5,36.4,0.7,45,1.7,14
BR027,Talas viqueque segar,115,1.8,0.5,25.9,8.6,50,0.9,1
DR149,Taoge kacang kedelai segar,76,9,2.6,6.4,0.7,50,1,5
DR150,Taoge kacang tunggak segar,40,5,0.2,5.8,2.6,57,1,2
DP017,Taoge goreng,88,3.2,2.1,14,0.7,168,5.7,0
DP018,Taoge seduh,28,3,0.8,4,1,52,0.5,18
DR148,Taoge segar,34,3.7,1.2,4.3,1.1,166,0.8,19
AP003,Tapai beras,99,1.7,0.3,22.4,0,4,0,26
AP016,Tapai ketan hitam,166,3.8,1,34.4,0.3,8,1.6,5
AP018,Tapai ketan putih,172,3,0.5,37.5,0.6,6,0.5,1
BP063,Tapai singkong,169,1.4,0.3,40.2,2,21,0.8,0
CP065,Tauco,184,11.4,5.5,22.2,1.9,72,6,1.77
CP066,Tauco cap beruang cake,347,7.4,5.2,67.6,3.2,63,6.2,0
CP067,Tauco cap DAS cake,358,7.5,4.3,70.4,3.1,94,4.5,0
CP068,Tauco cap meong,159,7.4,4.9,21.3,1.6,183,10.1,1.55
CP069,Tauji cap singa,277,9.1,4.7,49.6,1.2,68,3,0
DR151,Tebu terubuk lilin segar,30,4.6,0.4,3,0.8,40,2,699
FP086,Tedong pallu basa masakan,83,10.4,3.4,2.8,0,10,2.6,397
MP016,Teh hijau daun kering,300,28.3,4.8,53.6,9.6,245,18.9,60
MP017,Teh hitam daun kering,293,24.5,2.8,58.8,8.7,327,24.3,50
MP018,Teh melati daun kering,299,24.1,3.5,59,9.7,320,31.6,70
DR153,Tekokak kering,302,8.3,1.7,72.6,21.2,370,22.2,9
DR152,Tekokak segar,34,2,0.1,7.9,4.9,50,2,3
GP092,Tekwan,53,1.9,0.9,9.4,0,9,1,174
HR001,Telur ayam kampung segar,174,10.8,14,1.2,0,68,4.9,190
HR003,Telur ayam ras bagian kuning segar,355,16.3,31.9,0.7,0,147,7.2,111
HR004,Telur ayam ras bagian putih segar,50,10.8,0,0.8,0,6,0.2,164
HR002,Telur ayam ras segar,154,12.4,10.8,0.7,0,86,3,142
HP001,Telur ayam dadar masakan,251,16.3,19.4,1.4,0,62,2.5,0
HR005,Telur bebek alabio segar,187,11.8,14.2,3,0,60,6,115
HR008,Telur bebek tambak segar,187,10.9,12.4,7.9,0,64,5.4,209
HP002,Telur bebek asin mentah,179,13.6,13.3,4.4,0,120,1.8,483
HR006,Telur bebek bagian kuning segar,386,17,35,0.8,0,150,7,106
HR007,Telur bebek bagian putih segar,54,11,0,0.8,0,21,0.1,184
HP003,Telur bebek dadar masakan,301,20,23.7,0,0,71,9.2,0
HR009,Telur burung maleo segar,436,26.5,36.3,0.4,0,154,4.3,77
HR011,Telur burung puyuh segar,116,10.7,7,1.6,0,65,3.5,111
HR010,Telur penyu segar,136,8.6,10.1,2.7,0,66,3.4,478
CP070,Tempe bongkrek,119,4.4,3.5,18.3,0,27,2.6,0
CP071,Tempe gembus P3G,73,5.7,1.3,10.3,4.2,204,1.5,0
CP072,Tempe gembus yogya,76,6.8,0.7,10.6,5.3,76,16.5,0
CP073,Tempe kacang babi,139,12.5,0.8,21.9,1.8,68,2.6,0
CP074,Tempe kecipir kacang belimbing,212,17.5,10,12.9,2.9,186,2.2,0
CP075,Tempe kedelai + jagung,143,12,5.5,11.4,1.9,155,6.8,0
CP076,Tempe kedelai murni goreng,350,24.5,26.6,10.4,4.2,202,4.9,22
CP077,Tempe kedelai murni mentah,201,20.8,8.8,13.5,1.4,155,4,9
CP078,Tempe koro benguk,141,10.2,1.3,23.2,0,42,2.6,0
CP079,Tempe lamtoro,128,10.7,0.5,21.3,7.1,203,0.6,0
CP080,Tempe lamtoro var. gung dengan kulit,146,11.7,2.3,19.6,7.6,128,6.8,0
CP081,Tempe lamtoro var. gung tanpa kulit,131,18,0.8,13,1.3,95,12.4,0
CP082,Tempe pasar,150,14,7.7,9.1,1.4,517,1.5,7
CP083,Tempe pasar goreng,336,20,28,7.8,3.4,156,3,20
NP010,Tempoya,110,1.7,1.3,21.9,2.6,190,2.9,597
BP064,Tepung Arrowroot,355,0.7,0.2,85.2,0.4,8,1.5,2
AP004,Tepung beras mentah,353,7,0.5,80,2.4,5,0.8,5
BP065,Tepung Ganyong,353,0.8,1.7,83.6,0.7,4,3.3,3
BP066,Tepung Gaplek,345,2.4,0.4,83.1,6.7,18,1.5,6
CP084,Tepung hunkwe pati kacang ijo,364,4.5,1,83.5,16.1,50,1,15
AP013,Tepung jagung putih,355,9.2,3.9,73.7,7.2,10,2.4,11
CP085,Tepung Jalejo,388,19,7.5,61.2,5.8,101,2,3
CP086,Tepung kacang kedelai,347,35.9,20.6,29.9,5.8,195,8.4,52
BP067,Tepung kentang kering,347,0.3,0.1,85.6,0.4,20,0.5,51
BP068,Tepung Mocaf,350,1.2,0.6,85,6,60,15.8,8
EP014,Tepung Pisang,338,2.9,0.4,80.6,5.3,23,4,18
BP069,Tepung Sente,326,4,0.4,76.7,8.5,41,3.5,14
BP070,Tepung singkong Tapioka,363,1.1,0.5,88.2,0.9,84,1,1
EP015,Tepung Sukun,353,2.9,0.5,84.4,3.7,100,4.6,9
BP071,Tepung Tales Beneng,332,5.7,0.6,76.1,12.2,59,10.7,7
AP025,Tepung terigu,333,9,1,77.2,0.3,22,6.3,2
BP072,Tepung Ubi Ungu,354,2.8,0.6,84.4,12.9,89,3.9,42
NP011,Terasi,155,22.3,2.9,9.9,2.7,3.81,78.5,1.66
NP012,Terasi dobo,191,33.1,3.6,6.6,1.6,2.25,22.9,650
NP013,Terasi merah,174,30,3.5,5.6,2.2,100,3.1,7.85
GP093,Teri balado masakan,365,23.7,22.3,17.5,0,869,4,0
GP050,Teripang dendeng mentah,462,39.1,32.4,3.5,0,499,96.4,315
DR155,Terong asam segar,37,2,0.4,6.3,3.2,13,1.5,3
DR158,Terong hintalo segar,45,1.9,0.8,7.5,5.1,19,1,167
DR154,Terong segar,28,1.1,0.2,5.5,2.1,15,0.4,9
DR156,Terung belanda segar,52,2.1,1.1,8.6,1.4,16,1.1,0
DR157,Terung bengkulu segar,52,1.1,0.4,11.2,3.2,19,1.1,14
DR159,Terung panjang,25,2.1,0.1,5.3,0.5,38,0.7,9
DP019,Terung panjang kukus,23,1.8,0.1,4.9,0.4,40,0.5,9
FP087,Tikus rica masakan,257,18.8,18.5,3.8,0,232,6.5,1.72
DP058,Tinira ninahu nggaluku,33,1.2,1.3,4.1,3.1,35,0,161
FP088,Tinoransa masakan,516,17.7,49.5,0,0,698,3.5,1.31
AP110,Tipa-tipa,355,6.2,1.2,79.8,1.3,17,1.6,0
BP073,Tiwul,353,2.4,1.1,83.4,6.5,55,4.7,5
BP074,Tiwul Instan,395,3.2,8.5,76.5,4.2,81,5.8,377
DR161,Tomat merah segar,24,1.3,0.5,4.7,0,8,0.6,10
DR162,Tomat muda segar,24,2,0.7,3.3,1.8,5,0.5,10
DR160,Tomat air sari segar,20,1,0.2,3.5,0.4,7,0.4,10
GP094,Tumis bandeng,189,11.3,15.7,0.6,0,56,0.4,314
DP059,Tumis bayam bersantan,48,1.4,4.2,2.6,0.5,129,0.8,0
GP095,Tumis keumamah,300,14.5,20,15.5,4.5,0,0,0
BP075,Ubi Cilembu,186,1.9,0.2,44.3,3.4,37,0.6,62
BR029,Ubi jalar manis segar,83,1.5,0.2,18.8,0.6,27,2.1,52
BR030,Ubi jalar merah segar,151,1.6,0.3,35.4,0.7,29,0.7,92
BR031,Ubi jalar putih segar,88,0.4,0.4,20.6,4,30,0.5,2
BR032,Ubi jalar tinta kemayung,108,0.5,0.4,25.6,4.2,30,0.5,1
BP012,Ubi jalar tinta kemayung kukus,165,0.9,0.2,39.8,1.1,20,0.8,1
BP011,Ubi jalar kuning kukus,100,0.7,0.3,23.8,1,44,0.4,3
BR028,Ubi jalar kuning segar,119,0.5,0.4,25.1,4.2,30,0.4,3
DR163,Uceng bunga melinjo segar,82,5.8,1.3,11.7,4.8,70,2.4,0
GR083,Udang galah segar,81,16.5,0.3,3,0,87,0.7,95
GP051,Udang kering mentah,278,62.6,4.1,2.2,0,760,5.2,540
GP052,Udang papay mentah,273,47.8,3.8,12.5,0,1.11,2.4,651
GR082,Udang besar segar,56,11.4,0.6,1.2,0,30,0.3,190
GR084,Udang segar,91,21,0.2,0.1,0,136,8,178
FR034,Ulat sagu segar,241,5.8,21.6,5.8,2.8,20,0.5,210
FP020,Ulat sagu panggang,380,11.9,30.3,14.9,4.8,30,1.5,260
BP076,Uli batatas,150,1.1,4,27.4,0,0,0.1,6
BR033,Umbi Uwi segar,120,2.8,0.5,82.3,2.6,9,1.3,412
DR164,Umbut kelapa segar,39,2,0.2,7.2,2.5,57,0,4
DR165,Umbut rotan,34,2.4,0.3,5.5,2.2,89,1.3,8
ER111,Vigus segar,44,2.4,0.1,8.3,0,30,0.3,2
AP111,Wajit camilan,303,6.3,2.7,63.3,6.9,61,5.5,0
DP060,Waluh balamak,45,0.8,0.9,8.1,7.9,25,0.5,61
ER112,Wani segar,74,0.8,0.3,17.1,3.1,66,1.2,0
AP112,Widaran,424,1.3,10.7,80.7,0.2,49,2.5,0
CR052,Wijen mentah,568,19.3,51.1,18.1,3.6,1.13,9.5,18
AP113,Wingko babat,355,3.2,15.1,51.4,2.4,47,1.1,0
DP061,Woku ubi,143,3.1,7.8,15,7,195,2.8,353
DP021,Wortel kukus,37,1,0.6,8.3,1.1,44,0.6,43
DP020,Wortel rebus,28,0.7,0.5,6.3,0.8,46,0.6,41
DR166,Wortel segar,36,1,0.6,7.9,1,45,1,70
AP114,Yangko,254,3,1.1,58.1,0.8,184,2.6,0
JP011,Yoghurt segar,52,3.3,2.5,4,0,120,0.1,40
