kode,nama_bahan_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,besi_mg,natrium_mg
ER009,Buah kelenting segar,110,1.4,2.1,21.4,0,8,1.1,2
DR011,Buah kelor,38,1.5,0.2,7.5,3.2,30,0,48
ER010,Buah kom segar,264,4,1.1,59.6,9,306,0.8,0
ER011,Buah mentega Bisbul segar,39,0.7,0.2,9.7,2,43,0.8,1
DR012,Buah merah,87,2.6,2.7,13.1,4,30,1.1,110
ER012,Buah Naga Merah segar,71,1.7,3.1,9.1,3.2,13,0.4,128
ER013,Buah Naga Putih segar,56,0.8,1,10.9,3.2,13,0.5,231
ER014,Buah negri segar,55,1.2,0.1,12.2,5.2,30,0.2,10
ER015,Buah nona segar,101,1.7,0.6,25.2,2.8,27,0.8,5
ER016,Buah rotan segar,78,0.6,0.3,18.2,0,1,3.4,7
ER017,Buah rukam segar,113,0.8,0.3,26.8,7.7,108,1.2,2
ER018,Buah ruruhi segar,29,2.1,0.7,3.6,2.6,6,0,36
ER019,Buah tuppa segar,67,0.4,0.2,15.9,0,12,0.5,2
FP004,Buaya daging dendeng mentah,365,49.6,4.8,30.8,0,60,4.3,500
BP023,Bubur sagu,167,0.2,4,33,0,3,0.1,7
AP040,Bubur tinotuan Manado,156,2.3,0.2,15.6,8.2,41,0.4,486
FP040,Bulgogi masakan,72,11.4,4.9,1.4,1.7,214,2.5,509
DP003,Buncis rebus,30,2.2,0.2,6.4,1.5,107,0.5,7
DR013,Buncis segar,34,2.4,0.3,7.2,1.9,101,0.7,8
DR014,Bunga pepaya segar,45,2.6,0.3,8.1,1.6,290,4.2,2
DR015,Bunga turi segar,42,2,1.1,6.1,3.3,28,0.8,97
CP020,Bungkil biji karet,333,29.3,3.3,50,0,102,12,0
CP021,Bungkil kacang tanah,336,37.4,13,30.5,0,730,30.7,0
CP022,Bungkil kelapa,368,23,15,40,0,137,41.5,0
DP028,Buntil daun talas,141,4.4,10.2,8,1.8,149,14.5,0
FR015,Burung sarang segar,281,37.5,0.3,32.1,0,485,3,0
NR011,Cabai gembor merah segar,38,1.6,0.8,6.3,1.6,49,1.1,7
NR012,Cabai hijau segar,26,0.7,0.3,5.2,2.6,14,0.4,7
NR013,Cabai merah kering,367,15.9,6.2,61.8,26.9,160,2.3,25
NR014,Cabai merah segar,36,1,0.3,7.3,1.4,29,0.5,23
NR015,Cabai rawit segar,120,4.7,2.4,19.9,15.2,45,2.5,34
DR016,Caisin segar,20,1.7,0.4,3.4,1.2,123,1.9,18
GP058,Cakalang asar asap papua,155,20.1,3.8,10.2,0,20,2.1,90
AP041,Cake tape,323,4.9,11.5,50.1,1.4,131,2.6,0
DP029,Cammetutu,102,3.2,6,8.7,4.3,41,0.5,443
AP042,Cangkuning,204,2.8,7.5,31.4,0,0,0,0
AR014,Cantel mentah,366,11,3.3,73,1.2,28,4.4,7
DP030,Cap cai sayur,97,5.8,6.3,4.2,0.6,287,1.8,405
ER020,Carica papaya segar,24,1.9,0.2,3.7,1,51,1.8,0
BP024,Cassavastick,460,0.8,18.7,17.2,1.6,144,7.5,0
ER021,Cempedak segar,116,3,0.4,28.6,3.4,20,1.5,26
NR016,Cengkeh kering,330,5.2,8.9,57.4,10,740,4.9,282
BP025,Ceriping getuk singkong,462,1.2,20.7,67.7,0.6,1.25,8.8,0
FP041,Chicken teriyaki masakan,168,13,9.6,7.5,0.8,137,3.1,959
FP042,Chikiniku masakan,143,9.8,1.4,22.8,0.4,301,2,531
MP004,Coklat bubuk,311,8,4,48.9,32.6,125,11.6,0
MP001,Coklat manis batang,527,2,29.8,62.7,6.5,63,2.8,6
MP002,Coklat pahitbatang,615,5.5,42.6,29.2,10.8,98,4.4,20
MP003,Coklat susu batang,565,9,35,53.6,3.4,200,2,100
FP043,Coto mangkasara kuda masakan,96,6.8,5.9,3.8,0,11,2.3,96
FP044,Coto mangkasara sapi masakan,84,6,6,1.4,0,8,4,90
HP006,Cucuru bayau masakan,349,6.8,18.7,38.3,0,0,0,0
NP004,Cuka,21,0.1,0.1,5,0,7,0.5,21
GP003,Cumi-cumi goreng,265,40.6,10.1,0,0,62,2.7,86
GR022,Cumi-cumi segar,75,16.1,0.7,0.1,0,32,1.8,37
DR017,Daun bangun-bangun segar,27,1.3,0.6,4,1,279,13.6,4
DR018,Daun bawang merah segar,41,2,0.3,7.8,2.1,60,2.3,30
DR019,Daun bebuas segar,41,2.7,1,7.3,2.1,29,1.5,0
DR020,Daun belem segar,50,4.4,1.4,7.8,1.9,698,7.5,0
DR021,Daun bluntas segar,44,1.8,0.5,9.4,0,256,5.6,0
DR022,Daun gandaria segar,63,3.1,0.3,14,2.1,40,4.7,3
DR023,Daun gedi besar segar,58,2.9,0.7,10,3.3,440,1.9,30
DR024,Daun gedi kecil segar,61,3.2,0.7,10.4,3.4,420,1.7,20
DR025,Daun gelang segar,30,1.3,0.7,5.8,1.3,350,11.9,5
DR026,Daun gunda bali segar,50,4.6,0.9,7,1.4,167,0.5,0
DR027,Daun gunda serang segar,62,4.2,0.9,9.2,1.3,171,0.6,0
DR028,Daun jambu mete muda segar,78,4.6,0.5,16.2,3,33,8.9,14
DR029,Daun jampang segar,34,3.8,0.5,5.3,1.4,21,1,0
DR030,Daun jawaw seluang segar,93,5,1.3,15.3,3.9,146,5.3,2
DR031,Daun jonghe segar,27,2.1,0.7,4.4,2,253,9.5,0
DR032,Daun kacang ma segar,36,2.9,0.6,6.8,1.8,64,2.2,7
DP004,Daun kacang panjang kukus,40,3.7,0.3,8,1.8,111,3.7,6
DR033,Daun kacang panjang segar,30,3.1,0.3,5.8,1.7,200,4.5,7
DR034,Daun kasbi singkong karet segar,92,4,3.6,10.9,5.8,140,1.6,70
DP005,Daun katuk rebus,53,5.3,0.9,9.1,1.2,185,3.1,16
DR035,Daun katuk segar,59,6.4,1,9.9,1.5,233,3.5,21
DR036,Daun kecipir segar,52,5,0.5,8.5,0,134,6.2,6
DR037,Daun kedondong segar,59,3.5,0.3,13.4,10.7,540,6.2,12
DP006,Daun kelor rebus,61,6.1,0.9,10,0.9,255,2.1,45
DR038,Daun kelor segar,92,5.1,1.6,14.3,8.2,1.08,6,61
DR039,Daun kemangi segar,43,5.5,0.3,7.5,8.4,35,1,10
DR040,Daun kenikir segar,45,3.7,0.5,6.6,5.8,328,2.7,431
DR041,Daun kesum segar,48,4.5,0.8,9.1,1.6,125,2.6,11
DR042,Daun kol sawi segar,22,2.1,0.5,3.6,0.9,200,3.2,19
DR043,Daun koro segar,23,3,0.3,3.7,0,134,6.2,4
DR044,Daun kubis segar,51,2.5,1.1,8,3.4,100,3.4,50
DR045,Daun kumak segar,14,1.3,0.3,2.3,0.9,90,2.7,2
DR046,Daun labu siam segar,34,4,0.4,4.7,3.5,58,2.5,16
DR047,Daun labu waluh kuning segar,34,3.6,0.6,4.5,2.9,138,3.7,16
DR048,Daun lamtoro segar,87,8.3,1.8,14.4,3.3,725,3.9,10
DR049,Daun leilem segar,76,2.8,0.2,15.8,3.1,296,3.4,6
DR050,Daun leunca segar,49,4.7,0.5,8.1,0,210,6.1,0
DR051,Daun lobak segar,30,2.3,0.4,5.8,3.2,140,3.7,16
DR052,Daun lompong talas segar,44,3,0.8,7.4,3.3,76,1,3
DR053,Daun mangkokan segar,57,3.7,0.3,11.8,0,474,4,0
DR054,Daun matel ambon segar,71,6.8,1.6,11.5,4.6,93,10.2,0
DR055,Daun melinjo segar,104,5,1.3,21.3,10.3,219,4.2,12
DP007,Daun mengkudu kukus,63,3.8,1.5,11.5,2.4,300,6,0
DR056,Daun mengkudu segar,65,4,1.7,11.4,3.9,296,6.9,0
DR057,Daun ndusuk segar,166,1.7,0.5,38.8,10.7,40,1.8,40
DR058,Daun oyong segar,22,1,0.1,5.3,2,21,2,40
DR060,Daun pakis longgiho segar,54,2.2,3.6,3.1,2.1,40,0.7,70
DR061,Daun pakis wambateu segar,53,3.4,1.2,7.2,4.8,30,0.3,20
DR059,Daun pakis segar,39,4.5,0.4,6.9,2,136,2.3,20
DR062,Daun paku segar,29,3.4,0.1,6.5,4.3,13,1.3,19
DR063,Daun pangisegar,104,3.9,0.6,17.9,8.3,256,1.8,4
DR064,Daun pare segar,49,2.7,1,8.4,3,217,3.3,7
DR065,Daun pepaya segar,87,8,2,11.9,1.5,353,0.8,4
DR066,Daun pohpohan segar,37,2.5,0.8,6.9,2.6,744,5.9,0
NR017,Daun salam bubuk,301,14.2,10.9,49,9.4,86,44.1,180
DR067,Daun selasih segar,62,4,0.5,10.5,5.3,122,13.9,3
DR068,Daun semanggi segar,45,4.4,0.5,8.5,1.9,98,7,64
DR069,Daun simpur segar,53,3.2,2.5,7.6,1.6,228,3.5,0
DR070,Daun singkil segar,68,2,1,15.2,3.3,178,2.1,0
DR072,Daun singkong ambon segar,144,12.7,1.2,25.2,10.2,165,3.9,44
DR073,Daun singkong ampenan segar,50,6.2,1.1,7.1,2.4,352,2.7,49
DR074,Daun singkong kopang segar,74,6.3,0.7,10.7,4.6,142,1.7,32
DP008,Daun singkong rebus,31,3.7,0.6,4.8,1.6,160,2.6,13
DR071,Daun singkong segar,50,6.2,1.1,7.1,2.4,166,1.3,17
DR075,Daun sintrong segar,36,2.6,0.9,6.1,1.7,398,9.3,64
DP009,Daun talas rebus,27,1.3,0.2,5.9,1.6,119,1.4,3
DR076,Daun talas segar,59,3,0.4,13.5,3,236,2.4,4
DR077,Daun tespong segar,70,2.9,0.3,13.9,2.3,155,2.5,72
DR078,Daun ubi kuning segar,62,3.7,0.3,11.1,6.4,170,0.6,10
DP010,Daun ubi merah kukus,56,3.1,0.3,13,1.5,78,4.3,28
DR079,Daun ubi merah segar,48,3,0.3,10.8,1.4,80,6.4,33
DR080,Daun ubi putih segar,46,2.8,0.2,8.2,4.8,120,0.8,10
DR081,Daun ubi tinta segar,55,1.7,0.1,11.9,7.6,120,0.6,10
GP059,Dendeng belut goreng,382,55.7,14.1,8,0,1.07,15.4,0
GP060,Dendeng mujahir goreng,598,74.3,26.9,9.2,0,1.96,7.4,0
FP045,Djibokum masakan,248,10,2.3,40.9,0.1,116,2.8,401
AP043,Dodol bali,298,3.7,2.1,65.9,0.4,70,2.5,0
CP023,Dodol banjarmasin,368,2.6,8.6,70,0.5,51,3.3,48
AP044,Dodol galamai,348,0.4,3.8,76.1,0.5,41,2.6,38
AP045,Dodol kedondong,331,1.9,7.6,63.8,1,90,2.3,0
AP046,Dodol manado,373,4.3,16.5,51.9,0.4,41,2.4,35
EP002,Dodol nanas,338,1.5,1.2,80.3,0,0,0,0
FR016,Domba daging gemuk segar,317,15.7,27.7,0,0,9,2.4,64
FR017,Domba daging kurus segar,202,17.1,14.8,0,0,10,2.6,90
FR018,Domba ginjal segar,100,16.6,3.3,1,0,13,9.2,167
ER022,Duku segar,63,1,0.2,16.1,4.3,18,0.9,2
ER023,Durian segar,134,2.5,3,28,3.5,7,1.3,1
ER024,Duwet segar,80,0.5,0.6,18.2,0.9,33,1.3,16
DR082,Eceng segar,19,1,0.2,3.8,1.8,80,3.7,45
ER025,Embacang segar,98,1.4,0.2,25.4,1.9,21,0.5,3
FP046,Empal daging Goreng masakan,248,36.2,6.9,10.1,0,131,6.4,848
CP024,Emping kerupuk melinjo,345,12,1.5,71.5,0,100,5,0
AP047,Emping beras,403,10.6,2.2,85.3,0.2,11,0.3,1
CP025,Emping komak,355,17.8,4.6,60.7,0,87,4.3,24
ER026,Encung asam segar,122,3.5,4.5,17.5,9.3,63,3.2,0
CP026,Enting-enting gepuk hello kity,538,13.6,30.3,52.6,0.2,81,1.6,0
CP027,Enting-enting gepuk kacang tanah,524,13.3,29.2,52,0.2,76,1.4,0
CP028,Enting-enting wijen,565,18.2,38.4,36.8,1.9,251,10.9,0
ER027,Erbis segar,70,0.6,0,18.9,7.7,11,1.1,21
JP001,Es krim,210,4,12.5,20.6,0,123,0.1,78
GP061,Fillet o-fish,270,12.3,15.9,19.3,0.2,239,1.8,439
BR007,Gadeng Gadung kering,322,2.4,0.6,76.6,0,39,2.2,5
DP031,Gado-gado,137,6.1,3.2,21,1.1,301,7.5,0
BP006,Gadung ubi kukus,88,0.6,0.3,20.9,0.9,26,0.4,6
BR008,Gadung ubi segar,100,0.9,0.3,23.5,2.1,79,0.9,8
DR083,Gambas oyong segar,19,0.8,0.2,4.1,1.3,19,0.9,23
ER028,Gandaria masak,68,0.7,0.1,18,2.2,9,1,3
BP007,Ganyong rebus,100,0.8,0.2,23.8,0.9,15,0.9,0
BR009,Ganyong segar,77,0.6,0.2,18.4,0.8,15,1,0
ER029,Gatep segar,191,4.5,1.5,39.7,13.4,186,3.2,17
BP026,Gatot,347,1.3,0.7,83.8,5.8,78,17.1,28
BP027,Geblek,195,0.4,1.7,44.4,3.6,35,0.6,353
BR010,Gembili ubi segar,131,1.1,0.2,31.3,1.1,14,0.6,10
AP048,Gemblong,274,1.7,5.4,55.5,2.2,69,3.3,0
AP049,Gendar goreng,407,6.4,28.2,32,0.1,216,1.6,0
DR084,Genjer segar,35,1.7,0.2,7.7,2.5,62,2.1,64
CP029,Geplak,350,1.4,14.4,53.6,1.8,151,2.1,0
CP030,Geplak jahe,462,3.1,24.4,57.7,3.3,212,6.6,0
GP062,Gete kuah asam masakan,75,8.2,2,6,0,1.62,0.8,260
BP028,Getuk goreng,360,1.3,6.4,74.3,0.8,59,3.2,0
EP003,Getuk pisang,144,1.1,0.4,34.1,0.4,48,1,0
BP029,Getuk singkong,204,0.5,1.4,47.4,0.8,97,1.5,0
DP032,Gudeg sayur,160,3.3,9.2,16,2.3,62,12.8,0
MP005,Gula aren,368,0,0,92,0,75,3,15
MP006,Gula kelapa,386,3,10,76,0,76,2.6,2
MP007,Gula putih,394,0,0,94,0,5,0.1,1
GP063,Gulai asam keueung masakan,52,10,0.5,1.8,0,62,0.3,332
GP064,Gulai ikan paya masakan,148,10,9.8,5,0,103,0.7,525
GP065,Gulai ikan masakan,106,16.5,3.3,2.5,0,306,4.8,743
FP047,Gulai kambing,126,4.2,9.4,6.2,0,45,1.3,302
GP066,Gulai keumamah masakan,110,5.9,8.2,3.2,0,32,1,335
DP033,Gulai pakis,143,4,11.4,6,1.4,548,1.7,0
DP034,Gulai pliek,176,7.3,14.9,3.2,0,39,1.4,257
GP067,Gulai tiram masakan,132,9,7.2,7.8,0,53,3.7,285
GP068,Gurame asem manis masakan,192,12.7,10.1,12.7,0,283,1.1,0
BP030,Gurandil,218,0.5,2.5,48.5,3.1,50,2.8,0
FP005,Ham,384,16.9,35,0.3,0,10,2.5,112
JP002,Hangop,65,10,1,3.5,0,180,0.2,126
BR011,Hofa Ubi hutan segar,127,1.2,0.5,29.5,3.4,30,0.7,3
GP069,Ikan asar merah masakan,146,17.7,5.9,5.6,0,100,4,170
GP004,Ikan asin kering,193,42,1.5,0,0,200,2.5,0
GR001,Ikan bader segar,193,19,13,0,0,48,0.4,118
GR002,Ikan balong segar,107,16.5,3.9,1.5,0,54,2,86
GR003,Ikan bambangan segar,112,20,1.3,3.7,0,98,3,148
GP005,Ikan bandeng presto masakan,296,17.1,20.3,11.3,0,1.42,1.9,0
GR004,Ikan bandeng segar,123,20,4.8,0,0,20,2,67
GR005,Ikan banjar segar,111,19.4,0.9,4.8,0,68,7.3,99
GR006,Ikan baronang segar,78,14.5,0.6,3.7,0,26,3.8,26
GR007,Ikan batung segar,115,14.5,4.6,4.2,0,0,0,42
GP006,Ikan baung bakar,144,17.8,5.8,5.2,0,18,0,168
GR008,Ikan baung segar,123,15.1,5.5,3.3,0,5,1.3,32
GR009,Ikan bawal segar,91,19,1.7,0,0,20,2,129
GP007,Ikan Belida bakar,128,18,3,7.2,0,58,0,293
GR010,Ikan Belida segar,80,14.7,1.4,2.2,0,303,1.3,41
GR013,Ikan beunteur segar,109,17,4,0,0,500,1,109
GR014,Ikan biawan segar,90,14.9,2.5,2.1,0,125,1,35
GR015,Ikan bili segar,88,14.2,0.7,6.2,0,27,1.5,217
GR016,Ikan bubara segar,100,14.7,2.4,4.9,0,90,0.4,390
GR017,Ikan bulan-bulan segar,134,25.5,1.3,5,0,29,0.5,197
GP008,Ikan cakalang asap mentah,204,34.2,5.6,1.9,0,14,1.3,176
GP009,Ikan cakalang asin mentah,198,36.5,2.2,5.5,0,236,3.7,4.3
GR019,Ikan cakalang hati segar,120,11.3,3.9,10,0,30,0.9,420
GR020,Ikan cakalang jantung segar,116,11.2,1.2,10.2,0,10,3.4,360
GR021,Ikan cakalang perut segar,86,10.2,1.1,8.7,0,20,2.1,230
GP010,Ikan calo peda mentah,81,11.4,1.9,3.8,0,743,22.6,0
GR023,Ikan daun segar,101,11.5,4.1,4.6,0,80,0.8,120
GR024,Ikan ekor kuning segar,108,22.3,1.2,2.1,0,30,0.5,50
GP011,Ikan Gabus asap mentah,261,38.1,2.3,21.9,0,2.51,2.9,320
GP012,Ikan Gabus kering,268,58,4,0,0,15,0.1,0
GR025,Ikan gabus segar,80,16.2,0.5,2.6,0,170,0.1,65
GP013,Ikan gete goreng,267,23.1,19.4,0.2,0,2.34,0.8,590
GR026,Ikan Heu segar,81,10,1.6,6.6,0,1.91,2.1,240
GR027,Ikan hitam segar,101,10.3,3.7,6.7,0,50,0.4,70
GP014,Ikan hiu kering,298,46.3,3.6,20.2,0,335,2.5,957
GR028,Ikan hiu segar,57,10.7,0.3,2.2,0,75,2,0
GR029,Ikan kacangan segar,77,15.6,0.9,1.6,0,94,1.7,0
GR030,Ikan kakap segar,92,20,0.7,0,0,20,1,0
GR031,Ikan kakatua segar,82,11.4,1.2,6.4,0,20,0.4,90
GR032,Ikan kalaban segar,77,16.4,0.7,1.3,0,182,0.9,40
GR033,Ikan Kamera segar,86,19.7,0.8,0,0,50,0.3,90
GR034,Ikan kapar segar,132,17,6.7,0.8,0,151,1.2,78
GP015,Ikan katombo asin,162,31.7,2.8,0.3,0,279,4.6,4.39
GR035,Ikan kawalinya segar,110,12.6,4.2,5.4,0,80,1.5,340
GP016,Ikan kayu kering,302,70.7,1.9,0.4,0,313,4.1,345
GR040,Ikan keru-keru segar,93,16.5,2.1,0.8,0,65,2.4,137
GR041,Ikan kima segar,70,10.8,0.7,5.2,0,53,2,342
GP017,Ikan Lais bakar,147,17.5,6.5,5.4,0,54,0.1,142
GR045,Ikan lais segar,161,11.9,11.5,2.4,0,70,0,0
GR046,Ikan layang segar,109,22,1.7,0,0,50,2,0
GR047,Ikan layur segar,82,18,1,0.4,0,48,2.2,0
GR048,Ikan lehoma segar,90,20.4,0.9,0,0,88,0.7,56
GR049,Ikan lemuru segar,112,20,3,0,0,20,1,0
GR050,Ikan lidah segar,104,15.6,3.2,2,0,30,2,0
GP018,Ikan lomak asin mentah,258,40.3,2.3,18.9,0,140,2.3,6.23
GR052,Ikan malalugis segar,99,20.6,1.4,0.9,0,164,0.5,76
GR053,Ikan mamar merah segar,115,15.3,4,4.4,0,60,1.6,120
GP019,Ikan Mas pepes,209,15.2,11.3,11.8,0.5,686,6.1,74
GR054,Ikan mas segar,86,16,2,0,0,20,2,65
GR055,Ikan mayong segar,97,17.9,2,0.4,0,40,2.5,0
GP020,Ikan mujahir goreng,416,46.9,23.9,0,0,346,0.9,54
GP021,Ikan Mujahir pepes,121,21.7,2.8,0.8,0,83,1.6,58
GP022,Ikan mujahir dendeng mentah,582,68.3,15.2,37.2,0,3.26,4.3,0
GR056,Ikan mujahir segar,89,18.7,1,0,0,96,1.5,51
GR057,Ikan nasu metti segar,154,16.8,5,10.5,0,80,1.6,421
GR036,Ikan oci kembung segar,125,21.3,3.4,2.2,0,136,0.8,214
GR058,Ikan paling segar,303,14,27,0,0,20,1,43
GP023,Ikan Papuyu bakar,152,17.6,6.1,6.7,0,244,3.4,320
GR059,Ikan papuyu betok segar,120,14.3,4.9,4.6,0,329,1.5,240
GP024,Ikan Patin bakar,144,17.5,6.3,4.3,0,191,1.4,379
GR060,Ikan Patin segar,132,17,6.6,1.1,0,31,1.6,77
GP025,Ikan peda banjar mentah,156,28,4,2,0,174,3.1,59
GP026,Ikan pepetek mentah,176,32,4.4,2,0,120,1,79
GP027,Ikan Pindang banjar mentah,157,28,4.2,1.8,0,50,1,0
GP028,Ikan Pindang benggol mentah,170,31,4.2,0,0,50,1,0
GP029,Ikan Pindang layang mentah,153,30,2.8,0,0,60,3,0
GP030,Ikan Pindang selar mentah,142,27,3,0,0,60,3,0
GR061,Ikan pomo segar,147,22.5,5.2,2.6,0,80,1.3,0
GR062,Ikan Puntin segar,76,14.4,1.1,2.2,0,28,0,0
GP031,Ikan sale lais mentah,415,61.3,17.6,2.9,0,258,7,381
GR072,Ikan Sale segar,534,40.2,39.3,4.9,2,199,2.7,673
GP032,Ikan saluang kering mentah,284,34.1,9.9,14.6,0,1.43,9.5,1.77
GR065,Ikan saluang segar,113,13.9,4.9,3.4,0,642,1.9,51
GP033,Ikan sanggang masakan,240,21.7,7.7,20.7,0,159,9.8,2.04
GR066,Ikan sarden segar,109,19.9,1.8,3.4,0,95,1.3,266
GP034,Ikan selar kuning cue mentah,138,27,3.3,0,0,50,2,0
GP035,Ikan selar kering mentah,194,38,3.5,0,0,20,1,0
GR067,Ikan selar segar,100,18.8,2.2,0,0,40,0.5,43
GP036,Ikan sepat kering mentah,289,38,14,0,0,40,0.7,0
GR068,Ikan sepat segar,84,15.2,0.6,4.7,0,68,2.1,211
GR069,Ikan sidat segar,81,11.4,1.9,3.8,0,118,3,46
GP037,Ikan sunu asin mentah,199,34.1,3.8,7.1,0,94,2.2,377
GR070,Ikan sunu segar,111,13.3,3.4,6.7,0,86,1.2,91
GR071,Ikan tahuman segar,88,15.9,0.9,4.1,0,221,0,24
GR073,Ikan tarmon segar,96,19.5,1.1,2,0,9,0.3,43
GR074,Ikan telan segar,95,15.8,0.7,6.5,0,503,0.2,58
GR075,Ikan tembang segar,204,16,15,0,0,20,2,341
GR076,Ikan tempahas segar,101,15.1,4.1,1,0,32,0,50
GR077,Ikan terbang segar,98,19.6,1.7,1,0,90,0.6,90
GP039,Ikan Teri nasi kering mentah,144,32.5,0.6,0,0,1,3,312
GP040,Ikan Teri bubuk mentah,277,60,2.3,1.8,0,1.21,3,0
GP041,Ikan teri kering mentah,170,33.4,3,0,0,1.2,3.6,0
GP042,Ikan Teri kering tawar mentah,331,68.7,4.2,0,0,2.38,23.4,0
GR078,Ikan teri segar,74,10.3,1.4,4.1,0,972,3.9,554
GP043,Ikan Teri tepung mentah,347,48.8,6.4,19.6,0,4.61,18.6,0
GR079,Ikan titang segar,82,17.4,0.4,2.3,0,145,1.8,110
GR080,Ikan tongkol segar,100,13.7,1.5,8,0,92,1.7,202
GR081,Ikan turi segar,96,19.2,2,0.2,0,340,0.8,370
GR018,Ikan cakalang segar,107,19.6,0.7,5.5,0,23,2.9,66
HP004,Ikan telur asin mentah,358,20.7,26.4,9.4,0,48,15.1,2.68
GP038,Ikan tepung mentah,316,60.1,6.5,22.4,0,3.2,16.6,0
AP050,Intip goreng,474,7.6,21.6,62.3,1.2,36,2.5,0
FP006,Itik alabio daging dendeng mentah,496,30.3,33.5,18.4,0,135,12.5,1.08
AP051,Jagung gerontol,156,2.7,1.3,33.3,1,51,1.2,0
AR016,Jagung kuning pipil kering mentah,366,9.8,7.3,69.1,2.2,30,2.3,5
AP012,Jagung kuning pipil rebus,154,3.8,3.5,28.4,0.7,7,0.5,5
AP011,Jagung kuning tepung,355,9.2,3.9,73.7,7.2,10,2.4,11
DR085,Jagung muda semi segar,35,2.2,0.1,7.4,1.9,7,0.5,353
AR015,Jagung muda kuning mentah,147,5.1,0.7,31.5,1.3,6,1.1,5
AP010,Jagung muda rebus,142,5,0.7,30.3,0.8,5,0.8,5
AR017,Jagung pipil var. harapan kering,367,6.2,5.1,76.2,2.6,7,2.8,1
AR018,Jagung pipil var. metro kering,368,5.5,4.6,78,2.9,7,2.4,1
AP052,Jagung titi,374,9.4,2.2,79.1,0.8,14,2.9,0
NR018,Jahe segar,51,1.5,1,10.1,12,21,1.6,12
AR019,Jali mentah,324,11,4,61,3.1,213,11,24
MP008,Jam selai,239,0.5,0.6,64.5,1,20,1,30
GP070,Jambal goreng,286,48.5,9.2,2.3,0,207,3.3,0
ER030,Jambu air segar,46,0.6,0.2,11.8,2.1,8,1.1,11
ER031,Jambu biji,49,0.9,0.3,12.2,2.4,14,1.1,10
ER032,Jambu biji putih tidak berbiji,61,0.9,0.3,15.4,4.5,31,0.2,20
ER033,Jambu bol segar,49,2.3,0.2,9.6,3.5,8,0.3,1
ER034,Jambu monyet segar,64,0.7,0.6,15.8,1.2,4,0.5,12
AR021,Jampang huma mentah,350,6.2,1.4,78.2,1.7,329,5.3,53
DR086,Jamur encik,296,9.4,1.1,62,0,5,5.3,2
DR087,Jamur kuping kering,294,16,0.9,64.6,46.5,51,6.7,174
DR088,Jamur kuping segar,21,3.8,0.6,0.9,5.1,3,1.7,17
DR089,Jamur merang segar,30,3.5,0.2,4,2.4,14,1,300
DR091,Jamur sagu,48,1.9,3.2,2.8,1,10,0.6,100
DR090,Jamur tiram segar,30,1.9,0.1,5.5,3.6,9,0.7,226
FP048,Jangang bintatoeng masakan,107,5.3,2.2,16.5,0,64,2.5,482
DR092,Jantung pisang segar,32,1.2,0.3,7.1,3.2,30,0.1,3
AP053,Japilus,500,1.2,25.1,67.3,0.4,186,4.9,0
AR020,Jawawut mentah,364,9.7,3.5,73.4,8.2,28,5.3,7
DR093,Jengkol segar,192,5.4,0.3,40.7,1.5,4,0.7,60
ER035,Jeruk bali segar,48,0.6,0.2,12.4,0.8,23,0.5,21
ER036,Jeruk banjar segar,61,0.8,0.2,14.1,0,9,0.2,3
ER037,Jeruk garut-keprok,44,0.8,0.3,10.9,1.6,33,0.4,5
ER038,Jeruk Kalamansi segar,39,0.3,0.3,8.9,2.3,42,0.5,82
ER039,Jeruk manis segar,45,0.9,0.2,11.2,1.4,33,0.4,4
ER040,Jeruk nipis segar,44,0.5,0.2,10,0.4,18,0.2,3
ER041,Jeruk ragi segar,49,0.7,0.2,11.1,0.5,36,0.7,4
DR094,Jotang segar,34,1.9,0.3,7.1,3.5,162,4,59
GP071,Jukku pallu kaloa masakan,15,15.2,4.3,8.8,0,40,1.1,605
DR095,Kabau segar,130,6.7,0.3,25.2,2.9,4,0.5,1
BR012,Kaburan ubi segar,133,1,0.2,32.2,0.7,65,0.6,10
BP031,Kabuto,250,2.6,2.5,35.4,1.8,35,1.1,2
CR001,Kacang arab kering,330,23.8,1.4,60.2,17.4,57,4.7,24
CP031,Kacang atom,533,27.8,38.1,28.8,2.5,87,3,0
CR002,Kacang babi kering,341,30.4,3.2,51.3,4.5,178,6.8,13
CR003,Kacang belimbing kecipir kering,400,34.4,16.9,34.1,10.7,468,6.8,37
CP001,Kacang belimbing kecipir rebus,204,16.9,8.8,17.5,4.8,230,3.3,43
CR004,Kacang beracun segar,118,4.4,1.5,21.6,0,50,1.7,10
CP002,Kacang bogor goreng,479,12.7,23.2,58.9,1.2,135,2.9,0
CR005,Kacang bogor kering,370,16,6,65,26.3,85,4.2,44
CP003,Kacang bogor rebus,161,7.7,2.8,27.1,2,56,1.4,0
CR006,Kacang bogor segar,165,7.7,3.1,27.4,2.5,96,5.3,6
CR007,Kacang endel biji kering,331,25,1,58,23.6,80,5,12
CR008,Kacang ercis segar,129,12.4,0.7,18.3,28.6,40,2.3,4
CR009,Kacang galing segar,336,23.1,1.7,59.5,0,80,5,0
CP032,Kacang goyang,516,14.7,31.1,44.4,0,34,0.7,2
CR010,Kacang gude biji kering,316,20.7,1,58,4.6,146,4.7,16
CR011,Kacang gude biji segar,114,7,0.6,20.8,4.4,3,1.5,4
CP004,Kacang gude rebus,147,9,0.5,27.5,3.4,50,2,14
