kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
ER093,Pisang ua segar,67.8,128,0.8,0.5,30.2,8.1,12,28,0.7,33,382,0.2,0.3,0,5,0,0.09,0.01,1.2,4
ER094,Pisang uli segar,61.8,134,1.1,0.5,35.5,1.4,31,53,0.9,39,650.3,0.34,0.7,0,59,113,0.11,0.16,1.4,3
DR136,Pucuk lumai daun leunca segar,91,33,4.5,0.4,2.8,0,13,75,2.9,2,0,0.2,0.6,0,0,0,0.5,0.1,0,41
AP097,Pulut,49.1,216,2.6,3.1,44.4,0,6,70,3.8,100,22,0.4,1.3,0,0,0,0.14,0,0,0
FP009,Punai daging goreng,54.5,224,26.2,11.3,4.4,0,362,362,3.1,2,19,0.3,1.6,0,0,0,0,0,0,0
AP098,Pundut nasi,77.8,104,1.9,4.1,15.1,0.4,26,100,1.5,74,174,0,0,0,0,0,0,0,0,0
DP045,Purundawa,91.8,25,1.5,0.5,3.6,1.7,147,39,0,239,201,0.1,0.6,0,55,0,0.1,0.1,11.6,2
ER095,Purut segar,81.1,76,4.1,1.1,15.2,1.7,30,76,0.6,10,285.2,0,0,0,27,93,0.01,0.11,0,0
AP99,Putri hijau,54.8,189,5.4,2.1,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR137,Putri malu segar,80.2,76,3.6,0.3,14.6,7.1,119,84,3.3,1,631,0.6,1.4,0,4.76,0,0.6,0.6,0,6
AP100,Putri selat,66.6,163,2.2,6.5,23.8,0,72,3,4,6,68,0,0,0,0,0,0,0,0,0
AP101,Putu sopa,50.7,215,3.3,4.1,41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR063,Rajungan segar,80.2,76,12.1,2,2.4,0,721,214,2.2,69,192,1.7,2.9,599,40,0,0.2,0.25,0.2,0
ER096,Rambutan binjai segar,81,76,0.5,0.2,18,3.8,15,22,1.2,22,120,0.2,0.2,0,0,0,0.19,0.01,0.4,13
ER097,Rambutan segar,80.5,69,0.9,0.1,18.1,0.8,16,16,0.5,16,104.2,0.17,0.1,0,0,0,0,0.07,0.5,58
BP055,Rasbi Beras Ubi,11.1,394,2.2,8.8,76.6,6.8,68,76,1.6,165,388,0.4,0.4,0,0,0,0.02,0.3,1.2,0.2
BP056,Rasi Beras Singkong,12.6,350,0.9,0.4,85.7,14.4,42,21,1.5,8,14,0.3,0.5,0,0,0,0.02,0.02,0.4,0.2
FP061,Rawon masakan,86,60,5.4,2.5,4,0.3,272,153,3.3,0,0,0,0,11,0,1.24,0.09,0,0,0
GP046,Rebon kering mentah,21.6,299,59.4,3.6,3.2,0,2.31,625,21.4,0,0,0,0,0,0,0,0.06,0,0,0
GR064,Rebon udang kecil segar,79,81,16.2,1.2,0.7,0,757,292,2.2,169,202.9,0.7,1.2,18,0,0,0.04,0.1,2.4,0
GP047,Rebung laut mentah,18.2,320,7.2,4.2,63.3,0,240,570,6.6,20,1040,1.5,6.2,917,0,0,0,0,4.9,0
DR138,Rebung segar,93.3,25,0.8,0.1,5.3,9.7,3,5,0.5,3,206,0.1,0.4,0,10,0,0.2,0.07,0.5,0
CP055,Rempeyek kacang tanah,3.9,513,17.5,32.5,44.3,1.7,65,202,2.6,0,0,0,0,0,0,0,0.1,0,0,0
CP056,Rempeyek kacang tolo,6.1,451,11.2,20.2,59.7,1.8,156,221,4.6,0,0,0,0,0,0,0,0.02,0,0,0
CP057,Rempeyek kacang uci,4,497,17,27.6,50.8,2.4,166,89,6.7,0,0,0,0,0,0,0,0.05,0,0,0
FP062,Rendang sapi masakan,57.9,193,22.6,7.9,7.8,0,474,211,14.9,0,0,0,0,21,0,534,0.12,0,0,0
AP102,Renggi goreng,8.8,471,4.7,21.8,64.1,6.4,4,80,1.1,126,29,0.9,1.3,0,0,0,0.53,0.05,8.2,0
EP008,Rica-rica taipa,86.7,49,1.6,0.3,10,0,11,48,3,426,42,0.5,0.5,0,0,296,0.14,0,0,0
DR139,Rimbang segar,80.8,75,1.6,0.6,15.8,10,55,97,0.6,20,234,0.4,0.4,0,51,0,0.4,0.1,1.3,38
AP103,Roti boong,34,341,5.5,16.2,43.3,0,15,65,1.1,161,41,0,0.9,0,0,0,0.4,0.3,2.4,0
AP024,Roti putih,40,248,8,1.2,50,9.1,10,95,1.5,530,91,0.15,0.9,0,0,0,0.1,0.29,2.4,0
AP104,Roti warna sawo matang,40,249,7.9,1.5,49.7,0,20,140,2.5,500,91,0,0,0,0,0,0.15,0,0,0
EP009,Rujak aceh,78.7,82,0.4,0.3,19.7,2.4,0,0,0,0,0,0,0,0,0,272,0.1,0,0,0
DP046,Rujak cingur,70.1,153,11.3,8.4,8,1.4,256,143,4.4,0,0,0,0,18,0,2.88,0.16,0,0,2
DR140,Rumput laut,87,41,1.4,0.3,8.1,2.2,80,20,1.6,250,380,0.2,0.4,0,1.96,0,0.2,0,0.1,7
FP010,Rusa daging dendeng mentah,18.3,536,40.5,41.5,0,0,90,420,13.4,130,690,0.3,10.7,285,0,0,0,0,0.2,0
GP048,Rusip,58.5,110,11.5,2,11.7,0,479,348,7.1,0,0,0,0,0,0,0,0.04,0,0,0
FP063,RW anjing masakan,60.8,198,24.6,10.7,0.9,0,1.07,876,4,1.6,226,0.1,2.8,256,0,0,0.35,0.2,0,0
GP087,Saboko gurita masakan,76.2,87,15.7,1.5,2.6,0,60,14,2.1,200,180,0.9,4,38,0,0,0,0,0,0
GP088,Saboko saltan masakan,76,113,17.1,3.6,3,0,240,60,0.5,40,350,0.2,0.6,27,0,0,0,0,0.1,0
GP089,Saboko sardin masakan,70,110,12.9,4.3,4.9,0,220,520,6,200,280,0.2,3.9,37,0,0,0,0,0,0
CR051,Saga merah terkupas mentah,8.1,449,30.6,25.5,31.9,3.5,1.06,161,14.2,66,1496.5,0.07,5.7,0,9,107,0.09,1.5,10.9,7
BR018,Sagu aren kering,11.9,355,0.6,1.1,85.6,0.3,91,167,2.2,2,200,0,0.3,0,0,0,0.04,0.1,0.5,0
BR019,Sagu aren segar,42.5,231,0.6,0.2,56.6,3.2,20,20,0.1,7,0,0.1,0.1,0,0,0,0.2,0,0,0
BP057,Sagu forno,31.5,291,0.5,4,63.4,0,10,20,0.8,40,50,0.1,0.2,0,0,0,0,0,0,0
BR020,Sagu kasbi segar,42.5,230,0.6,0.2,56.5,3,20,1,0.3,100,410,0.1,0.2,0,0,0,0.1,0,0,0
BP058,Sagu Lemak Kue Sagon,4.3,452,2.8,14.8,76.8,1.1,15,39,1.1,182,52.7,0.04,0.8,0,1.22,0,0.32,0.04,0.1,0.2
BR021,Sagu lempeng,13.5,347,0.9,0.3,85.2,4.7,30,30,0.2,11,0,0.1,0.1,0,0,0,0.3,0,0,0
BP059,Sagu manis,32.6,287,0.5,3.9,62.4,0,8,17,0.7,34,42,0.1,0.2,0,0,0,0,0,0,0
BP060,Sagu Rendang,8.2,364,0.1,0.2,90.5,1.9,13,9,3.9,42,15.1,0.1,0.1,0,0,0,0.02,0.6,0.8,0.2
BR022,Sagu singkong kering,12,362,0.5,0.3,86.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BP061,Sagu sinole,22,354,0.8,8.3,68.9,0,10,30,0.8,30,11,0.2,0.3,0,0,0,0,0,0,0
ER098,Salak bali segar,85.1,57,0.5,0.1,13.6,1.3,94,25,2.1,0,0,0.08,0.2,0,48,37,0,0,0,0.4
ER099,Salak medan segar,78.1,55,0.4,0.2,12.8,3.2,6,46,0.5,39,113,0.2,0.3,0,4,0,0.04,0.03,0,58
ER100,Salak pondoh segar,77.9,87,0.8,0.4,20.1,0,38,31,3.9,0,0,0.08,0.2,0,0,40,0,0.12,0.1,8
ER101,Salak segar,78,77,0.4,0,20.9,0,28,18,4.2,0,0,0.08,0.2,0,48,0,0.04,0,0,2
EP010,Sale kesemek,25,296,1.1,0.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP011,Sale pisang siam,28.9,281,2.4,0.7,66.1,1,41,64,1.2,0,0,0,0,0,0,0,0,0,0,0
EP012,Sale pisang cilacap,27.1,295,2.3,2.1,66.9,1.3,47,97,2.8,0,0,0,0,0,10,0,0.22,0.03,0,42
EP013,Sanggara belanda,47.1,242,6.4,7.1,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP003,Santan dengan air,80,122,2,10,7.6,1.4,25,30,0.1,9,162.5,0.16,0.4,0,0,0,0.02,0,0.5,2
KP004,Santan murni,54.9,324,4.2,34.3,5.6,0,14,45,1.9,18,514.1,0.37,0.9,0,0,0,0.02,0,0.5,2
NP009,Saos tomat,69.5,110,2,0.4,24.5,0.9,12,18,0.8,890,129.7,0.18,0.3,0,357,570,0.09,0.06,1.7,11
FP011,Sapi abon,7.1,212,18,10.6,59.3,7.5,150,209,12.3,0,0,0,0,0,240,138,0.17,0,0,0
FP012,Sapi abon asli,24.8,358,14.6,16.1,38.6,2.5,165,136,14.6,0,0,0,0,3,194,144,0.13,0,0,0
FR023,Sapi babat segar,76.7,108,17.6,4.2,0,0,12,144,1,147,101.4,0.11,2.2,0,49,0,0.15,0.17,1.7,0
FP013,Sapi daging asap,60,182,32,6,0,0,15,300,5,1.62,485.4,0.03,5.1,6,0,0,0.12,0.23,5.9,0
FP014,Sapi daging dendeng mentah,25,301,55,9,0,0,30,370,5.1,0,0,0,0,0,0,0,0.1,0,0,0
FR024,Sapi daging gemuk segar,60,273,17.5,22,0,0,10,150,2.6,93,267,0.17,6.4,12,0,0,0.08,0.18,7.3,0
FP015,Sapi daging kornet,53,289,16,25,0,0,10,170,4,794,94.4,0.07,4,0,52,0,0.01,0.16,2.7,0
FR025,Sapi daging kurus segar,69,174,19.6,10,0,0,11,181,2.9,83,489,0.07,4.9,6,181,0,0.07,0.51,1.2,0
FR026,Sapi daging lemak sedang segar,66,201,18.8,14,0,0,11,170,2.8,105,378,4.58,5.2,9,198,0,0.08,0.56,1.3,0
FP016,Sapi daging sosis Worst,37.6,448,14.5,42.3,2.3,0,28,61,1.1,765,284.5,0.06,1.7,0,0,0,0.1,0.18,4.9,0
FR027,Sapi daleman segar,70.1,183,12,14.4,1.4,0,43,319,1.8,277,160,0.1,0.8,0,104,0,0.31,0.22,8.5,0
FR028,Sapi dideh darah,75.6,98,21.9,1.1,0,0,7,24,1.3,150,170,0,0.2,15,214,0,0.01,0.03,0.9,0
FR029,Sapi ginjal segar,74.9,137,15,8.1,0.9,0,9,221,7.9,200,230.2,0,0,348,583,0,0.37,1.22,6.1,13
FP017,Sapi hati sosis liverworst,56.6,274,16,22,3,2.3,20,150,4,654,158.8,0.22,2.2,1.2,0,0,0.2,0.96,4,0
FR030,Sapi keleponan segar,83.8,84,10.5,4.6,0.2,0,20,13,2.1,73,318,0.2,1.7,857,34,0,0.1,0.14,0.3,0
FR031,Sapi liver segar,69.7,132,19.7,3.2,6,0,7,358,6.6,110,213,0.51,2.3,13.3,355,0,0.26,1.52,11.4,31
FR032,Sapi otak segar,78.9,123,10.4,8.6,0.8,0,16,330,3.6,112,243.8,0.26,0.9,0,0,0,0.23,0.19,3.9,18
FP018,Sapi paru dendeng mentah,9.7,360,57.3,6,19.2,0,126,903,21.1,1.48,864,1.2,6.1,2.83,0,0,0,0,0,0
FP019,Sapi paru goreng,45.5,268,23.9,12.7,14.5,0,102,315,8.8,923,299,0,1.5,790,0,0,0,0,0,0
FR033,Sapi usus segar,76.7,126,14,7.2,1.5,0,14,115,4,0,0,0,0,61,0,0,0.08,0.33,0.2,0
GP049,Sardines dalam kaleng,47.1,338,21.1,27,1,0,354,434,3.5,0,0,0,0,76,0,0,0.1,0,0,0
CP059,Saridele bubuk,3,344,30,20,43,6.2,450,500,4,56,2572.3,2.99,4,0,0,2,0.7,0.16,2,10
AP105,Sarimuka,61.5,166,2.3,2.8,32.9,0,36,13,2,3,34,0,0,0,0,0,0,0,0,0
GP090,Sate Bandeng,47.1,283,12.1,16.8,20.9,2,118,186,1.2,543,199,0.2,0.9,0,2,0,0.02,0.02,0,0.3
FP065,Sate pusut masakan,52.1,274,12.9,18.6,13.6,0,63,190,2.7,609,0,0,0,133,0,0,0.06,0,0,0
FP064,Sate penyu masakan,57.4,179,22.5,3.5,13.3,0,187,238,14.4,0,0,0,0,0,0,0,0.1,0,0,0
DR142,Sawi putih pecai segar,96.6,9,1,0.1,1.7,0.8,56,42,1.1,5,193.1,0.05,0.1,0,862,832,0.05,0.18,0.4,3
DR143,Sawi taiwan segar,91.8,30,1.9,0.5,4.4,2.7,100,58,1.6,27,217,0.1,0.7,0,1.34,0,0.2,0.1,0.6,33
DR144,Sawi tanah segar,94.9,19,1.3,0.2,2.9,2.2,92,45,1.2,17,145,0.1,0.4,0,815,0,0.2,0.1,0.1,36
DR141,Sawi segar,92.2,28,2.3,0.3,4,2.5,220,38,2.9,22,436.5,0.12,0.2,0,2.04,6.46,0.09,0.23,0.7,102
ER102,Sawo duren segar,87.3,64,1,3.1,8,0.8,18,45,0.8,13,111.4,0.02,0.1,0,0,0,0.01,0.02,0.1,1
ER103,Sawo kecik segar,73.8,111,0.9,2.3,21.6,1,20,185,0.7,28,117.8,0.04,0.1,0,119,12,0,0.04,1.5,19
ER104,Sawo Manila segar,75.5,92,0.5,1.1,22.4,9.5,25,12,1,26,110.2,0.04,0.1,0,111,60,0.01,0.04,1.4,21
DP047,Sayur asem,93.2,29,0.7,0.6,5,0.6,40,61,3.1,0,0,0,0,14,0,2.08,0.1,0,0,0.3
DP048,Sayur bunga pepaya,83.4,49,1.7,0.3,9.8,2.7,220,220,1.3,90,350,0.1,0.1,0,372,0,0,0.1,0,0
DP049,Sayur garu,70.8,178,2.6,13.9,10.6,8.4,30,130,0.9,20,120,0.1,0.3,0,0,0,0.2,0.1,0,9
DP050,Sayur kohu-kohu,72.8,133,7.3,6.6,11.2,1.2,40,120,0.2,20,50,0.1,0.3,0,944,0,0.2,0.2,0,9
CP058,Sayur lebui,83.9,64,2.1,0.6,12.5,5.7,21,2,1,124,146,0.2,0.7,0,14,0,0,0,0.1,0
DP051,Sayur lilin-terubuk,90.4,36,2.7,0.7,4.8,1.4,10,90,0.1,30,44,0.2,1,0,0,0,0.3,0.2,0,18
DP052,Sayur ndusuk,87.5,49,3.1,2.5,3.6,0,11,6,0.5,1.01,88,0,0.2,0,0,0,0.2,0.1,0,15
DP053,Sayur sop,92.7,27,1.3,2,1,0.3,168,57,1.8,0,0,0,0,20,0,2.57,0.1,0,0,0.2
DP054,Sayur umbut kelapa,85.5,67,5.2,2.9,5.1,1.4,48,81,3.2,313,108,0.2,1.1,0,21,0,0.2,0,0,5
DP055,Sayur umbut rotan,87.6,57,5.4,2.6,3.1,1.6,184,135,1.2,256,81,0.2,0.9,0,18,0,0.2,0,0,6
DR146,Selada air segar,93.3,17,3.1,0.2,2.2,0.7,95,152,2.4,65,260.7,0.11,0.2,0,1.23,3.73,0.09,0.14,0.7,56
DP016,Selada rebus,93.5,19,2.7,0.2,2.9,0.7,83,74,1.4,24,160.7,0.05,0.3,0,2.5,3.7,0.08,0.2,0.6,27
DR145,Selada segar,94.8,18,1.2,0.2,2.9,1.8,22,25,0.5,19,186.4,0.03,0.2,0,1.53,540,0.04,0.13,0.4,8
DR147,Seledri segar,93,23,1,0.1,4.6,2,50,40,1,64,258.8,0.08,0.4,0,63,130,0.03,0.07,0.4,11
ER105,Semangka segar,92.1,28,0.5,0.2,6.9,0.4,7,12,0.2,7,93.8,0.04,0.1,0,315,590,0.05,0.05,0.3,6
DP057,Semur jengkol,52.7,212,6,10,29.1,0,77,99,1,0,0,0,0,0,0,81,0.14,0,0,4
BR023,Sente talas segar,14,353,0.7,0.2,84.7,6.6,11,13,1.5,30,694.6,0.6,2.2,0,41,0,0.05,0.2,2.8,5
GP091,Sepi masakan,66.1,88,7.9,1.6,10.6,0,924,350,2.3,873,258,1,1.1,783,0,0,0,0,0,0
BP062,Serimping talas kebumen,4.8,478,2.5,21.2,69.2,1.7,112,118,2.3,0,0,0,0,0,0,0,0.25,0,0,0
DP056,Shabu-shabu,87.1,88,3.2,8,0.8,0.9,217,48,2.9,514,0,0,0,82,0,2,0.2,0,0,0
FP067,Sie reuboh masakan,32.4,474,11.2,42.5,11.7,0,26,62,1.3,677,176,2.4,3.2,141,9,0,0.46,0.26,0,0
ER106,Sirsak segar,81.7,65,1,0.3,16.3,3.2,14,27,0.6,2,298.9,0.08,1,0,8,10,0.07,0.08,0.7,20
MP014,Sirup,44,213,0,0,55,0,0,0,0,3,4.2,0,0,0,0,0,0,0,0,0
MP015,Sirup pirous,43.3,228,0.2,0.4,55.9,0,470,93,29.5,3,4.2,0,0,0,0,0,0,0,0,8
FP068,Sop buntut masakan,86.1,71,7.5,3.6,2.2,0,286,38,3.2,490,0,0,0,119,0,2.9,0.14,0,0,0
FP069,Sop daging sapi masakan,87.5,49,5.8,0.5,5.3,0,158,48,2.2,391,0,0,0,101,0,3.32,0.37,0,0,0
FP070,Sop kaki sapi masakan,84.5,68,9,1.9,3.7,0,302,15,2.2,435,0,0,0,48,0,150,0.46,0,0,0
FP071,Sop kambing masakan,91.6,34,5.5,0.8,1.1,0,145,37,1.6,348,0,0,0,48,0,80,0.57,0,0,0
FP072,Sop konro masakan,85,71,7.4,2.6,4.5,0,17,60,4.6,184,25,0.3,1.3,0,0,0,0.12,0.02,10.9,0
FP073,Sop saudara masakan,82.4,89,7.2,5,3.9,0,10,174,9,274,50,0.2,1.1,0,0,0,0.09,0.12,2,0
FP074,Soto bandung masakan,89.9,42,3.9,1.7,2.8,0.4,74,75,1.8,0,0,0,0,6,20,0.1,0,0,0,0
FP075,Soto banjar masakan,83.7,110,2.9,9.5,3.2,0,28,28,0.3,36,6,0,0.2,12,0,770,0.05,0,0,0
FP076,Soto betawi masakan,75.9,135,2.5,8.8,11.5,0.5,222,72,1.9,0,0,0,0,6,0,336,0.04,0,0,0
FP077,Soto jeroan masakan,81.4,92,11.8,4.3,1.4,0,218,48,1.9,363,0,0,0,85,0,440,0.36,0,0,0
FP078,Soto kudus masakan,91.6,38,2.6,2.3,1.8,0.2,237,67,1.7,0,0,0,0,23,0,128,0.06,0,0.5,0
FP079,Soto madura masakan,89.8,60,3.5,4.5,1.3,0,361,126,3.8,0,0,0,0,26,0,121,0.06,0,0,0
FP080,Soto padang masakan,75,127,5.9,6.6,11,0.7,298,94,1.5,0,0,0,0,12,0,204,0.22,0,0,0
FP081,Soto pekalongan masakan,83.8,94,3,6.8,5.1,0.3,322,79,2,0,0,0,0,14,0,119,0.29,0,0,0
FP082,Soto pemalang masakan,86,75,3.6,5.2,3.5,0,170,80,2.1,0,0,0,0,16,0,30,0.13,0,0,0
FP083,Soto sukaraja masakan,75.9,80,3.2,3.5,9,0.3,347,77,2.3,0,0,0,0,12,0,89,0.04,0,0,0
FP084,Soto sulung masakan,88.1,86,2.3,8.5,0,0,200,120,2.9,0,0,0,0,20,0,105,0.08,0,0,0
ER107,Sowa segar,87.7,48,1.6,0.6,9.1,45,50,40,0.3,9,0,0.1,1.5,0,364,0,0.15,0.23,0.2,4
AP106,Spaghetti,66.1,139,7.4,2.1,22.6,0,109,53,4.7,0,0,0,0,42,0,940,0.35,0,0,0
AP107,Srikaya ketan,41,265,2.7,6.4,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER108,Srikaya segar,83.4,63,1.1,0.5,13.9,2.1,127,30,2.7,0,0,0,0,0,0,31,0.08,0,0,28
FP085,Sukiyaki masakan,81,75,5.6,0.4,12.2,0.2,109,59,0.5,426,0,0,0,41,0,1.2,0.37,0,0,0
ER109,Sukun muda segar,69.4,119,1.4,0.2,28.1,1.4,24,44,1.4,24,414.4,0.09,0.1,0,28,4.9,0.17,0.17,3.7,52
ER110,Sukun tua segar,67.8,126,1.6,0.2,24.5,1.5,37,47,1.6,25,436,0.09,0.1,0,30,2,0.18,0.17,3.9,58
AP108,Sunduk lawang,63.4,181,1.9,1.3,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP005,Susu asam untuk bayi bubuk,2.5,418,19,9,65.5,0,800,600,7,188,486.5,0,0,303,83,0,1,1.31,0.7,30
JP006,Susu bubuk,3.5,513,24.6,30,36.2,0,904,694,0.6,380,1.330.0,0.02,4.1,476,118,0,0.29,1.39,1.6,6
JR002,Susu ibu - ASI,88.1,62,1.5,3.2,7,0,34,20,0.2,15,41,0.01,0.4,0,7,0,0.01,0.03,0.2,0
JR003,Susu kambing segar,85.9,64,4.3,2.3,6.6,0,98,78,2.7,35,160,0.33,0.1,38,0,0,0.06,0.45,0.3,1
CP060,Susu kedelai,87,41,3.5,2.5,5,0.2,50,45,0.7,128,287.9,0.12,1,0,0,200,0.08,0.05,0.7,2
JP007,Susu kental manis,25,343,8.2,10,55,0,275,209,0.2,150,320,0.02,1,155,46,0,0.05,0.43,0.4,1
JP008,Susu kental tak manis,73.7,138,7,7.9,9.9,0,243,195,0.2,140,303,0,0,121,0,0,0.05,0,0,1
JR004,Susu kerbau segar,73.8,160,6.3,12,7.1,0,216,101,0.2,82,0,0,0.3,24,0,0,0.04,0.07,0,1
JR005,Susu kuda segar,91,40,2,1.1,5.4,0,0,0,0,0,37.4,0,0,0,1,0,0,0.2,0.2,0
JR006,Susu sapi segar,88.3,61,3.2,3.5,4.3,0,143,60,1.7,36,149,0.02,0.3,39,12,0,0.03,0.18,0.2,1
JP009,Susu skim bubuk,3.5,359,35.6,1,52,0,1.3,1.03,0.6,470,1745,0.04,4.1,0,10,0,0.35,1.05,1.2,7
JP010,Susu skim segar,90.5,36,3.5,0.1,5.1,0,123,97,0.1,38,0,0,0,0,0,0,0.04,0,0,1
BP009,Suweg talas kukus,75.5,93,1.5,0.1,21.9,0.9,50,58,0.8,6,350.3,0.1,0.1,0,0,283,0.09,0,0.3,0
BR024,Suweg talas segar,80.1,74,1.4,0.1,17.2,1.4,42,46,1.3,7,400,0.1,0.1,0,24,254,0.04,0,0.4,2
AP109,Suwir-suwir,13.4,347,0.5,0.9,84.2,0.8,42,40,4.3,0,0,0,0,1,0,240,0.13,0,0.9,0
CP062,Tahu goreng,77.3,115,9.7,8.5,2.5,0.1,229,200,4.1,7,68.2,0.09,1.3,0,0,0,0.01,0.24,0,0
CP063,Tahu telur,41.8,328,12.6,19.9,24.6,0.4,492,238,4.9,755,0,0,0,73,0,1.86,0.42,0,0,0
CP061,Tahu mentah,82.2,80,10.9,4.7,0.8,0.1,223,183,3.4,2,50.6,0.19,0.8,0,118,0,0.01,0.08,0.1,0
CP064,Takwa,72.2,148,13.8,8.5,4,0,140,214,8.5,3,79,0.3,1.3,0,0,920,0.2,0.1,0.8,0
BP010,Talas bogor kukus,69.2,120,1.5,0.3,28.2,0.7,31,63,0.7,11,498,0.2,0.6,0,0,0,0.05,0.6,0.8,2
BR025,Talas bogor segar,72.4,108,1.4,0.4,25,0.9,47,67,0.7,10,448,0.2,0.7,0,0,0,0.06,0.07,1,4
BR026,Talas pontianak segar,60,163,2.3,0.5,36.4,0.7,45,80,1.7,14,323.1,0.3,1,0,0,0,0.02,0.1,1.3,0
BR027,Talas viqueque segar,70.6,115,1.8,0.5,25.9,8.6,50,220,0.9,1,70,0.3,1,0,0,0,0.08,0.1,0.9,0
DR149,Taoge kacang kedelai segar,81,76,9,2.6,6.4,0.7,50,65,1,5,212.4,0.26,0.7,0,0,110,0.23,0.19,1.2,15
DR150,Taoge kacang tunggak segar,88,40,5,0.2,5.8,2.6,57,88,1,2,226.8,0.07,0.5,0,299,0,0.07,0.08,0.8,15
DP017,Taoge goreng,79.2,88,3.2,2.1,14,0.7,168,50,5.7,0,0,0,0,2,0,613,0.05,0,0,0
DP018,Taoge seduh,91.9,28,3,0.8,4,1,52,73,0.5,18,58.3,0.19,0.4,0,46,18,0.1,0,0.9,2
DR148,Taoge segar,90.4,34,3.7,1.2,4.3,1.1,166,74,0.8,19,93.3,0.16,0.4,0,41,20,0.09,0,1.1,5
AP003,Tapai beras,75.5,99,1.7,0.3,22.4,0,4,19,0,26,2,0.1,0.5,0,0,0,0,0,0,0
AP016,Tapai ketan hitam,50.2,166,3.8,1,34.4,0.3,8,106,1.6,5,12,0,0,0,0,0,0.02,0,0,0
AP018,Tapai ketan putih,58.9,172,3,0.5,37.5,0.6,6,35,0.5,1,0,0,0,0,0,0,0.04,0,0.2,0
BP063,Tapai singkong,57.4,169,1.4,0.3,40.2,2,21,34,0.8,0,0,0,0,0,0,0,0,0,0,9
CP065,Tauco,54,184,11.4,5.5,22.2,1.9,72,463,6,1.77,233,0.39,1,0,0,664,0.32,0.2,0.8,0
CP066,Tauco cap beruang cake,11.4,347,7.4,5.2,67.6,3.2,63,106,6.2,0,0,0,0,0,0,936,0.35,0,0,0
CP067,Tauco cap DAS cake,10.2,358,7.5,4.3,70.4,3.1,94,94,4.5,0,0,0,0,0,0,504,0.29,0,0,0
CP068,Tauco cap meong,59.7,159,7.4,4.9,21.3,1.6,183,84,10.1,1.55,204.1,0.34,0.9,0,0,472,0.46,0.18,0.7,0
CP069,Tauji cap singa,30.4,277,9.1,4.7,49.6,1.2,68,106,3,0,0,0,0,0,0,936,0.15,0,0,0
DR151,Tebu terubuk lilin segar,91,30,4.6,0.4,3,0.8,40,80,2,699,0,0.2,1.1,0,12,0,0.08,0.2,1.2,50
FP086,Tedong pallu basa masakan,81.7,83,10.4,3.4,2.8,0,10,139,2.6,397,34,0.6,1.3,0,0,0,0.09,0.53,9,0
MP016,Teh hijau daun kering,7.7,300,28.3,4.8,53.6,9.6,245,415,18.9,60,5873.9,0.5,0,0,8.4,0,0.38,1.24,4.6,230
MP017,Teh hitam daun kering,8,293,24.5,2.8,58.8,8.7,327,313,24.3,50,5854.8,0,0,0,2.7,0,0.07,0.8,7.6,9
MP018,Teh melati daun kering,8.1,299,24.1,3.5,59,9.7,320,185,31.6,70,5848.4,0.53,0,0,8.4,0,0.07,0.79,7.3,85
DR153,Tekokak kering,12.3,302,8.3,1.7,72.6,21.2,370,180,22.2,9,0,1044.2,1,0,187,750,0.4,0.17,5.1,0
DR152,Tekokak segar,89,34,2,0.1,7.9,4.9,50,30,2,3,333.3,0.12,0.2,0,23,750,0.08,0.05,0.9,8
GP092,Tekwan,86.7,53,1.9,0.9,9.4,0,9,41,1,174,42,0,0,99,0,0,0.1,0.02,0.4,0
HR001,Telur ayam kampung segar,73.1,174,10.8,14,1.2,0,68,268,4.9,190,141,0.6,1.5,203,23,125,0.78,0.62,0.2,0
HR003,Telur ayam ras bagian kuning segar,49.4,355,16.3,31.9,0.7,0,147,586,7.2,111,107.5,0.2,2.5,606,63,0,0.27,0.51,0.2,0
HR004,Telur ayam ras bagian putih segar,87.8,50,10.8,0,0.8,0,6,17,0.2,164,138.5,0.03,0.4,0,0,0,0,0.26,0.4,0
HR002,Telur ayam ras segar,74.3,154,12.4,10.8,0.7,0,86,258,3,142,118.5,0.16,1,61,22,104,0.12,0.38,0.2,0
HP001,Telur ayam dadar masakan,61.9,251,16.3,19.4,1.4,0,62,250,2.5,0,0,0,0,36,0,221,0.21,0,0,0
HR005,Telur bebek alabio segar,70,187,11.8,14.2,3,0,60,268,6,115,80,0.6,1.7,180,437,0,1.55,0.37,0.1,0
HR008,Telur bebek tambak segar,67.7,187,10.9,12.4,7.9,0,64,295,5.4,209,146,0.4,1.8,378,471,375,1.62,0.03,0.1,0
HP002,Telur bebek asin mentah,66.5,179,13.6,13.3,4.4,0,120,157,1.8,483,140.1,0,0,253,13,0,0.28,0.98,0.6,0
