kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
EP007,Loka anjoro,63.3,163,1.1,4.3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GR051,Lokan segar,80.9,217,11,1.7,5.1,0,20,390,10.9,3,7,0.2,2.7,0,0,0,0.45,0.07,0,0
ER053,Lontar segar,93,27,0.4,0.2,6,1.6,91,243,0.5,0,0,0,0,0,0,0,0.03,0,0,0
DR127,Lumai Leunca segar,90.5,38,1.1,0.3,7.6,2,7,55,1,2,0,0.1,0.3,0,25,0,0.2,0.1,0.6,17
AP079,Lupis ketan,61,164,1.8,2.1,34.5,0.7,119,31,1.5,0,0,0,0,0,0,0,0.09,0,0.2,0
MP010,Madu,20,294,0.3,0,79.5,0.2,5,16,0.9,6,26.9,0.04,0.2,0,0,0,0,0.04,0.1,4
AP019,Maizena tepung,14,341,0.3,0,85,7,20,30,1.5,6,9,0.22,1.6,0,0,0,0,0.09,1.3,0
AP020,Makaroni mentah,11.7,353,8.7,0.4,78.7,4.9,20,80,0.3,5,0,0.28,1.4,0,0,0,0.1,0.13,2.2,0
AP080,Manan samin,27.1,379,3.4,18.1,50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER055,Mangga benggala segar,84.4,63,2.4,0.4,12.4,5.8,9,13,0.2,3,79,0.1,0.1,0,10,0,0.18,0.01,0.4,43
ER056,Mangga gedung segar,87.4,44,0.7,0.2,11.2,1.6,13,10,0.2,2,83.6,0.04,0.1,0,113,16.4,0.08,0.01,0.3,30
ER057,Mangga golek segar,82.2,63,0.5,0.2,16.7,2.3,14,10,0.7,3,118.1,0.05,0.1,0,160,3.72,0.08,0.02,0.4,65
